All,Всі
None,Жоден
"Allowed Scopes","Дозволені межі"
"You need more permissions to delete this item(s): %1.","Вам потрібно більше дозволів для видалення таких елементів: %1."
"You need more permissions to apply some of the rule updates.","Вам потрібно більше дозволів щоб застосувати деякі оновлення правил."
"Please assign this entity to a store view.","Будь ласка, призначте цей об'єкт до виду крамниці."
"You can create orders only in an active store.","Ви можете створювати замовлення тільки в активній крамниці."
"Please assign this item to a store view.","Будь ласка, призначте цей елемент до виду крамниці."
"You need more permissions to save this item.","Вам потрібно більше дозволів для збереження цього елементу."
"You need more permissions to delete this item.","Вам потрібно більше дозволів для видалення цього елементу."
"You need more permissions to view this item.","Вам потрібно більше дозволів для перегляду цього елементу."
"Please specify at least one website or one store group.","Будь ласка, вкажіть принаймні один веб-сайт або одну групу крамниць."
"You need more permissions to set All Scopes to a Role.","Вам потрібно мати більше прав для встановлення усіх меж для ролі."
"Incorrect website ID: %1","Невірний ID веб-сайту: %1"
"You need more permissions to access website ""%1"".","Вам потрібно більше дозволів для доступу до веб-сайту ""%1""."
"Incorrect store ID: %1","Невірний ID крамниці: %1"
"You need more permissions to save this setting.","Вам потрібно більше дозволів щоб зберегти це налаштування."
"Role Scopes","Межі застосування ролі"
Custom,Користувацький
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Ви не маєте дозволу зберегти цей елемент у поточні крамниці. Будь ласка, переключіться на дозволену крамницю"
"More permissions are needed to delete the ""%1"" item.","Додаткові дозволи необхідні для видалення елемента ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Цей об'єкт має бути закріплений за крамницею. Перевірте це та повторіть спробу."
"Orders can only be completed in an active store. Verify the store and try again.","Замовлення можуть бути завершені тільки в активному магазині. Перевірте магазин і спробуйте ще раз."
"This item needs to be assigned to a store view. Assign item and try again.","Цей елемент має бути призначений до магазину. Перевірте чи призначений елемент та повторіть спробу."
"More permissions are needed to save this item.","Додаткові дозволи необхідні для збереження цього елемента."
"More permissions are needed to delete this item.","Додаткові дозволи необхідні для видалення цього елемента."
"More permissions are needed to view this item.","Додаткові дозволи необхідні для перегляду цього елемента."
"At least one website or store group needs to be selected. Select and try again.","Принаймні один веб-сайт або група магазинів потрібно вибрати. Виберіть та повторіть спробу."
"More permissions are needed to set All Scopes to a Role.","Додаткові дозволи необхідні для встановлення ""Всі області"" для ролі."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" це хибний ID для веб-сайту. Перевірте ID та повторіть спробу."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" це хибний ID для магазину. Перевірте ID та повторіть спробу."
"More permissions are needed to save this setting.","Додаткові дозволи необхідні для збереження цього налаштування."
"Read Details","Читати подробиці"
"Mark as Read","Позначити як прочитане"
"Are you sure?","Ви впевнені?"
Remove,Вилучити
"Messages Inbox","Вхідні повідомлення"
"You have %1 new system messages","У вас є %1 нових системних повідомлень"
"You have %1 new system message","У вас є %1 новe системнe повідомлення"
"Incoming Message","Вхідне повідомлення"
close,закрити
Notifications,Сповіщення
"The message has been marked as Read.","Повідомлення було позначено як прочитане."
"We couldn't mark the notification as Read because of an error.","Ми не змогли позначити повідомлення як Прочитане через помилку."
"Please select messages.","Будь ласка, виберіть повідомлення."
"A total of %1 record(s) have been marked as Read.","Всього %1 запис (-ів) позначено як прочитані."
"Total of %1 record(s) have been removed.","Загалом %1 запис(ів) було видалено."
"We couldn't remove the messages because of an error.","Ми не змогли видалити повідомлення через помилку."
"The message has been removed.","Повідомлення було видалено."
"1 Hour","1 година"
"2 Hours","2 години"
"6 Hours","6 годин"
"12 Hours","12 годин"
"24 Hours","24 години"
critical,критичне
major,основне
minor,незначне
notice,повідомлення
"Wrong message type","Невірний тип повідомлення"
"Wrong notification ID specified.","Зазначено невірний ID сповіщення."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} не рекомендується використовувати у виробничому середовищі для декларування Base Unsecure URL / Base Secure URL. Ми наполегливо радимо змінити це значення в Magento <a href=\"%1\">конфігурації</a> ."
"One or more of the Cache Types are invalidated: %1. ","Один або кілька типів кешу недійсні: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Будь ласка, перейдіть до <a href=""%1"">Управління кешем</a> та оновіть кешеві типи."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Нам не вдалося синхронізувати один або більше медіа-файлів. Для деталей, будь ласка, зверніться до файлу журналу."
"Synchronization of media storages has been completed.","Завершено синхронізацію медіа сховищ."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Ваш веб-сервер хибно налаштований і дозволяє отримати несанкціонований доступ до конфіденційних файлів. Будь ласка, зверніться до вашого хостинг-провайдеру."
"System Messages:","Системні Повідомлення:"
"Critical System Messages","Критичні Системні Повідомлення"
"Major System Messages","Значні Системні Повідомлення"
"System messages","Системні повідомлення"
Close,Закрити
"See All (","Переглянути всі ("
" unread)"," непрочитані)"
"Show Toolbar","Показати панель інструментів"
"Show List","Показати список"
"Use HTTPS to Get Feed","Використовувати HTTPS для отримання стрічки новин"
"Update Frequency","Частота оновлення"
"Last Update","Останнє оновлення"
Severity,Суворість
"Date Added","Дата додавання"
Message,Повідомлення
Actions,Дії
"Close popup","Закрити спливаюче вікно"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Ви переглянули та вирішили всі останні повідомлення системb. Будь ласка, оновіть веб-сторінку, щоб очистити сповіщення."
"Manage Shopping Cart","Керувати кошиком покупок"
"Create Order","Створити Замовлення"
Back,Назад
"Add Products","Додати Продукти"
"Update Items and Quantities","Оновити товарні позиції та кількість"
"Are you sure you want to clear your cart?","Ви впевнені, що хочете очистити свій кошик?"
"Clear my shopping cart","Очистити мій кошик покупок"
"Add selections to my cart","Додати вибране до мого кошика"
Cancel,Скасувати
"Shopping Cart for %1 in %2","Кошик покупок для %1 у %2"
"Select products you want to buy","Виберіть товари, які Ви хочете придбати"
Product,Продукт
Price,Ціна
Quantity,Кількість
"Products in the Comparison List (%1)","Товарів у списку порівняння (%1)"
"Last ordered items (%1)","Останні замовлені позиції (%1)"
Products,Товари
ID,Ідентифікатор
SKU,Артикул
"Recently Compared Products (%1)","Нещодавно порівняні товари (%1)"
"Recently Viewed Products (%1)","Нещодавно переглянуті товари (%1)"
"Add to Shopping Cart by SKU","Додати до кошика покупок за артикулом"
"Add to Shopping Cart","Додати до кошика покупок"
"Wish List (%1)","Список бажань (%1)"
Apply,Застосувати
Configure,Налаштувати
"Add to Order by SKU","Додати до замовлення за артикулом"
"Add to Order","Додати до замовлення"
"Add Products to Order","Додати товари до замовлення"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> товар(и/ів) потребують уваги.</span>"
"Remove All","Видалити все"
"Only %1%2%3 left in stock","Тільки %1%2%3 залишилося на складі"
"You can buy up to %1 of these per purchase.","Ви можете придбати до %1 з них за покупку."
"You must buy at least %1 of these per purchase.","Ви повинні придбати принаймні %1 з них за покупку."
"Specify the product's options.","Вкажіть опції товару."
"Alert me when this item is available.","Сповістіть мене, коли ця позиція стане доступною."
"We can't find this customer.","Ми не можемо знайти цього покупця."
"Shopping cart management is disabled for this customer.","Керування кошиком покупок вимкнене для цього покупця."
"We can't find this store.","Ми не можемо знайти цей магазин."
Customers,Покупці
"Shopping Cart",Кошик
"Sorry, something went wrong. You can find out more in the error log.","Вибачте, щось пішло не так. Ви можете дізнатися більше в журналі помилок."
"You do not have access to this.","Ви не маєте доступу до цього."
"Ordered item id is not received.","Ідентифікатор замовленої позиції не отримано."
"Ordered item is not loaded.","Замовлена позиція не завантажена."
"Quote item id is not received.","Ідентифікатор позиції котування не отриманий."
"Quote item is not loaded.","Позиція котування не завантажена."
"The wish list item id is not received.","Ідентифікатор позиції списку бажань не отриманий."
"The wish list item is not loaded.","Позиція списку бажань не завантажена."
"An error has occurred. See error log for details.","Сталася помилка. Перегляньте журнал помилок для подробиць."
"You cannot configure a product.","Ви не можете конфігурувати товар."
"You removed the items.","Ви видалили елементи."
"You removed the item.","Ви вилучили позицію."
"You added %1 to your shopping cart.","Ви додали %1 у Ваш кошик."
"You cannot add a product.","Ви не можете додати товар."
"Order by SKU","Замовити за артикулом"
"The SKU was not found in the catalog.","Артикул не знайдено в каталозі."
"Availability: Out of stock.","Наявність: немає на складі."
"We don't have as many of these as you want.","В нас немає потрібної вам кількості цього товару."
"You can't add this many to your cart.","Ви не можете додати таку кількість до кошику."
"You need to choose options for your item.","Вам потрібно вибрати опції для Вашої товарної позиції."
"We can't add the item to your cart.","Ми не можемо додати позицію до вашого кошика."
"Please enter an actual number in the ""Qty"" field.","Будь ласка, введіть фактичне число у полі ""Кіл-ть""."
"This product is assigned to another website.","Цей товар назначений на інший веб-сайт."
"You can add only enabled products.","Ви можете додати тільки ввімкнені товари."
"You cannot upload this file.","Ви не можете завантажити цей файл."
"The file is empty.","Файл порожній."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Ви не ввели артикул товару. Будь ласка, <a href=""%1"">натисніть тут</a>, щоб додати товар(и) за артикулом."
"You have not entered a product SKU.","Ви не ввели артикул товару."
"We can't add a product to cart by id ""%1"".","Ми не в змозі додати до кошика товар за ідентифікатором ""%1""."
"Something went wrong while reordering this product.","Щось пішло не так під час повторного замовлення цього товару."
"We can't find this wish list.","Ми не можемо знайти цей список бажань."
"You added %1 product to your shopping cart.","Ви додали %1 товар до Вашого кошика покупок."
"You added %1 products to your shopping cart.","Ви додали %1 товари(ів) до Вашого кошика покупок."
"%1 product requires your attention.","%1 товар потребує Вашої уваги."
"%1 products require your attention.","%1 товари(ів) потребують Вашої уваги."
"Yes, for Specified Customer Groups","Так, для зазначених груп покупців"
"Yes, for Everyone","Так, для всіх"
No,Ні
"The file is corrupt.","Файл пошкоджено."
"Please upload the file in .csv format.","Будь ласка, завантажте файл у форматі .csv."
"%1 item(s) need your attention.","%1 позиція(ї) потребує(ють) Вашої уваги."
"Apply Coupon Code","Застосувати код купона"
"Remove Coupon Code","Вилучити код купона"
"The coupon code ""%1"" is not valid.","Код купона ""%1"" не є дійсним."
"Shopping Cart Items","Позиції кошика покупок"
Qty,Кіл-ть
Subtotal,"Проміжні підсумки"
Discount,Знижка
"Row Subtotal","Проміжний підсумок рядка"
Action,Дія
"No ordered items","Немає замовлених позицій"
"Total %1 product(s)","Загалом %1 товар(и/ів)"
Subtotal:,"Проміжний підсумок:"
"Please select","Будь ласка, виберіть"
"Move to Wish List","Перемістити до списку бажань"
"No item specified.","Не вказано жодної позиції."
